a	0	19	0	0
b	5	0	0	0
br	1	0	0	0
c	7	0	1	0
cl	1	0	0	0
d	4	0	0	0
e	0	18	0	0
f	1	0	3	0
g	2	0	0	0
gr	1	0	0	0
i	0	20	0	0
l	8	0	9	0
m	9	0	0	0
n	4	0	2	0
o	0	12	0	0
p	9	0	0	0
pr	1	0	0	0
r	5	0	2	0
s	5	0	5	0
t	4	0	0	0
tr	2	0	0	0
u	0	7	0	0
v	4	0	1	0
x	1	0	0	0
z	3	0	0	0
'	11	0	0	0
cil	0	0	0	1
cin	0	0	0	2
clib	0	0	0	1
fen	0	0	0	1
nam	0	0	0	1
nib	0	0	0	1
octocog	0	0	0	2
pag	0	0	0	1
pon	0	0	0	1
pran	0	0	0	1
sant	0	0	0	1
tam	0	0	0	1
tan	0	0	0	1
tat	0	0	0	1
teon	0	0	0	1
tumab	0	0	0	1
tumumab	0	0	0	1
tuximab	0	0	0	1
tuzumab	0	0	0	1
tid	0	0	0	1
tril	0	0	0	1
nonacog	0	0	0	2
vir	0	0	0	3
zumab	0	0	0	4
